INFO 2024-05-01 17:32:37,784 autoreload 47021 132999069958144 Watching for file changes with StatReloader
WARNING 2024-05-01 17:32:41,333 log 47021 132999014250048 Not Found: /
WARNING 2024-05-01 17:32:41,338 basehttp 47021 132999014250048 "GET / HTTP/1.1" 404 2166
WARNING 2024-05-01 17:32:43,316 log 47021 132999014250048 Not Found: /favicon.ico
WARNING 2024-05-01 17:32:43,320 basehttp 47021 132999014250048 "GET /favicon.ico HTTP/1.1" 404 2217
WARNING 2024-05-01 17:32:49,468 log 47021 132999014250048 Not Found: /
WARNING 2024-05-01 17:32:49,469 basehttp 47021 132999014250048 "GET / HTTP/1.1" 404 2166
WARNING 2024-05-01 17:32:52,980 log 47021 132999014250048 Not Found: /start/
WARNING 2024-05-01 17:32:52,985 basehttp 47021 132999014250048 "GET /start/ HTTP/1.1" 404 2873
INFO 2024-05-01 17:32:58,057 basehttp 47021 132999014250048 "GET /start/add/ HTTP/1.1" 200 1317
INFO 2024-05-01 17:33:44,804 basehttp 47021 132999014250048 "POST /start/add/ HTTP/1.1" 200 1426
INFO 2024-05-01 17:35:38,574 basehttp 47021 132999014250048 "GET /start/image/ HTTP/1.1" 200 565
INFO 2024-05-01 17:36:34,201 autoreload 47021 132999069958144 /home/aleksander/PycharmProjects/pythonProject1/Django/magazin/hw2/views.py changed, reloading.
INFO 2024-05-01 17:36:34,889 autoreload 47424 128357415165952 Watching for file changes with StatReloader
INFO 2024-05-01 17:37:33,336 autoreload 47469 127653004173312 Watching for file changes with StatReloader
INFO 2024-05-01 17:37:38,794 basehttp 47469 127652949128768 "GET /start/add/ HTTP/1.1" 200 1333
WARNING 2024-05-01 17:38:05,740 log 47469 127652949128768 Not Found: /start/add/image/
WARNING 2024-05-01 17:38:05,744 basehttp 47469 127652949128768 "POST /start/add/image/ HTTP/1.1" 404 2904
WARNING 2024-05-01 17:39:18,312 log 47469 127652949128768 Not Found: /start/add/image/
WARNING 2024-05-01 17:39:18,313 basehttp 47469 127652949128768 "POST /start/add/image/ HTTP/1.1" 404 2904
WARNING 2024-05-01 17:39:21,441 log 47469 127652949128768 Not Found: /start/add/image/
WARNING 2024-05-01 17:39:21,442 basehttp 47469 127652949128768 "GET /start/add/image/ HTTP/1.1" 404 2903
INFO 2024-05-01 17:39:24,276 basehttp 47469 127652949128768 "GET /start/add HTTP/1.1" 301 0
INFO 2024-05-01 17:39:24,318 basehttp 47469 127652870485568 "GET /start/add/ HTTP/1.1" 200 1327
INFO 2024-05-01 17:39:44,524 basehttp 47469 127652870485568 "POST /start/add/ HTTP/1.1" 200 1389
INFO 2024-05-04 18:49:39,046 autoreload 5169 140311745830912 Watching for file changes with StatReloader
WARNING 2024-05-04 18:49:47,701 log 5169 140311615501888 Not Found: /
